timestamp,symbol,open,close,high,low,volume,trade_count,vwap
2023-05-01 04:00:00+00:00,MMM,97.76,97.3,98.21,97.04,2289449,44185,97.44
2023-05-02 04:00:00+00:00,MMM,96.99,94.67,97.17,94.37,3012012,53885,95.07
2023-05-03 04:00:00+00:00,MMM,95.14,94.53,96.16,94.38,2056095,40303,94.94
2023-05-04 04:00:00+00:00,MMM,94.27,93.62,94.67,92.63,2963164,54368,93.52
2023-05-05 04:00:00+00:00,MMM,94.5,95.01,95.13,93.81,1943096,36617,94.63
2023-05-08 04:00:00+00:00,MMM,95.2,94.08,95.53,93.44,2094189,42346,94.06
2023-05-09 04:00:00+00:00,MMM,93.28,92.66,93.54,92.29,3121575,60088,92.63
2023-05-10 04:00:00+00:00,MMM,93.2,92.75,93.49,91.56,2744095,59979,92.49
2023-05-11 04:00:00+00:00,MMM,92.39,92.64,92.85,91.74,2774017,53552,92.46
2023-05-12 04:00:00+00:00,MMM,93.04,92.18,93.09,91.26,2455316,50112,91.91
2023-05-15 04:00:00+00:00,MMM,91.99,92.38,92.69,91.26,2406964,46175,92.09
2023-05-16 04:00:00+00:00,MMM,91.93,90.1,91.96,90.09,3744629,77011,90.51
2023-05-17 04:00:00+00:00,MMM,90.47,92.09,92.21,90.09,3577976,59569,91.46
2023-05-18 04:00:00+00:00,MMM,91.86,92.97,93.16,91.5,2914335,52141,92.41
2023-05-19 04:00:00+00:00,MMM,93.54,92.41,93.74,92.07,2698351,50594,92.77
2023-05-22 04:00:00+00:00,MMM,92.27,94.91,95.21,91.74,4187327,65022,93.98
2023-05-23 04:00:00+00:00,MMM,94.91,93.96,95.96,93.93,3616226,56536,94.74
2023-05-24 04:00:00+00:00,MMM,93.73,90.5,93.96,90.48,4132558,77398,91.21
2023-05-25 04:00:00+00:00,MMM,90.09,90.56,90.71,88.97,3119602,59172,90.09
2023-05-26 04:00:00+00:00,MMM,90.56,90.46,90.92,89.92,2785161,47216,90.4
2023-05-30 04:00:00+00:00,MMM,90.45,89.63,90.7,88.83,2870783,57097,89.44
2023-05-31 04:00:00+00:00,MMM,88.65,87.07,89.36,86.96,6191673,76624,87.33
2023-06-01 04:00:00+00:00,MMM,87.22,87.97,88.25,86.2,3329512,56876,87.71
2023-06-02 04:00:00+00:00,MMM,89.67,95.67,97.56,89.61,14162912,202560,94.45
2023-06-05 04:00:00+00:00,MMM,94.15,91.43,95.63,91.36,6721485,102698,92.85
2023-06-06 04:00:00+00:00,MMM,91.5,91.72,92.97,90.78,4474087,76172,91.72
2023-06-07 04:00:00+00:00,MMM,92.12,94.24,94.39,91.07,3341173,51623,93.49
2023-06-08 04:00:00+00:00,MMM,94.06,94.02,94.57,92.92,3152526,53933,93.9
2023-06-09 04:00:00+00:00,MMM,93.96,93.22,94.79,91.63,4513944,77826,93.07
2023-06-12 04:00:00+00:00,MMM,93.64,94.49,95.59,93.51,3500479,63871,94.41
2023-06-13 04:00:00+00:00,MMM,94.49,95.87,96.24,94.09,3283266,72819,95.66
2023-06-14 04:00:00+00:00,MMM,96.26,95.13,96.74,94.4,3250960,56551,95.52
2023-06-15 04:00:00+00:00,MMM,95.08,96.87,97.13,94.82,2822370,54223,96.49
2023-06-16 04:00:00+00:00,MMM,97.28,97.55,97.87,96.27,6197456,63912,97.42
2023-06-20 04:00:00+00:00,MMM,95.9,95.46,96.04,94.31,2747025,55311,95.4
2023-06-21 04:00:00+00:00,MMM,94.87,94.68,95.45,94.06,2518051,46193,94.8
2023-06-22 04:00:00+00:00,MMM,94.51,93.71,94.53,92.97,2594899,52995,93.63
2023-06-23 04:00:00+00:00,MMM,96.39,93.98,96.58,92.83,7812208,105104,94.18
2023-06-26 04:00:00+00:00,MMM,93.31,93.69,94.14,92.82,3655366,58471,93.56
2023-06-27 04:00:00+00:00,MMM,93.24,91.69,93.52,91.51,5429369,76506,92.35
2023-06-28 04:00:00+00:00,MMM,91.69,91.98,92.63,91.23,3795598,58400,91.85
2023-06-29 04:00:00+00:00,MMM,91.54,92.6,92.81,91.37,3496871,52124,92.37
2023-06-30 04:00:00+00:00,MMM,93.32,93.39,93.68,92.56,4963326,69076,93.21
2023-07-03 04:00:00+00:00,MMM,93.5,94.37,94.65,93.24,1590299,31560,94.09
2023-07-05 04:00:00+00:00,MMM,94.05,92.03,94.59,91.98,3945339,63797,92.78
2023-07-06 04:00:00+00:00,MMM,91.44,89.87,91.52,89.18,5133163,81237,89.86
2023-07-07 04:00:00+00:00,MMM,89.76,90.78,92.37,89.74,3988375,65657,91.24
2023-07-10 04:00:00+00:00,MMM,90.62,90.69,91.92,90.4,3767922,62585,90.85
2023-07-11 04:00:00+00:00,MMM,92.14,95.1,95.2,91.8,6253513,88760,94.26
2023-07-12 04:00:00+00:00,MMM,96.55,94.78,97.29,94.73,3633156,59031,95.57
2023-07-13 04:00:00+00:00,MMM,94.9,95.98,96.04,94.71,2492092,42682,95.57
2023-07-14 04:00:00+00:00,MMM,95.88,95.46,95.97,94.76,2215759,43870,95.44
2023-07-17 04:00:00+00:00,MMM,95.08,94.9,95.29,94.06,2302564,45800,94.79
2023-07-18 04:00:00+00:00,MMM,94.82,96.12,96.61,94.57,2490672,44206,95.92
2023-07-19 04:00:00+00:00,MMM,95.97,96.56,96.82,95.74,2088935,41494,96.41
2023-07-20 04:00:00+00:00,MMM,96.27,97.31,97.73,95.65,2866281,49555,97.02
2023-07-21 04:00:00+00:00,MMM,97.2,97.35,97.55,96.32,2502037,40095,97.24
2023-07-24 04:00:00+00:00,MMM,97.54,97.3,98.54,97.02,3333381,57383,97.63
2023-07-25 04:00:00+00:00,MMM,100.36,102.48,103.43,99.85,8778880,132671,102.28
2023-07-26 04:00:00+00:00,MMM,102.49,105.11,105.51,102.49,5594987,88612,104.46
2023-07-27 04:00:00+00:00,MMM,103.06,103.75,105.57,103.06,5613490,95380,104.15
2023-07-28 04:00:00+00:00,MMM,104.39,104.4,104.89,103.62,2910760,46944,104.29
2023-07-31 04:00:00+00:00,MMM,104.4,104.04,104.76,103.44,7243111,55103,104.01
2023-08-01 04:00:00+00:00,MMM,104.04,103.16,104.43,102.95,2856474,51550,103.45
2023-08-02 04:00:00+00:00,MMM,102.18,101.62,102.55,100.92,3187994,53962,101.59
2023-08-03 04:00:00+00:00,MMM,101.24,100.02,101.56,99.77,2822708,51243,100.41
2023-08-04 04:00:00+00:00,MMM,100.37,98.45,100.76,98.04,2916183,55494,99.08
